,Verbo  1,Verbo  2,Verbo  3,Verbo  4,Verbo  5,Verbo  6,Verbo  7,Verbo  8,Verbo  9,Verbo  10,Verbo  11,Verbo  12,Verbo  13,Verbo  14,Verbo  15,Verbo  16,Verbo  17,Verbo  18,Verbo  19,Verbo  20
Dia 1,ser,ver,decir,estar,tener,ir,hacer,mejorar,hablar,garantizar,encontrar,ayudar,tomar,haber,saber,trabajar,crear,seguir,promover,mantener
Dia 2,dejar,evitar,dar,reducir,establecer,utilizar,vivir,aumentar,llegar,usar,conseguir,obtener,proteger,lograr,asegurar,cambiar,pensar,llevar,aplicar,desarrollar
Dia 3,facilitar,apoyar,determinar,adoptar,pasar,proporcionar,volver,cumplir,alcanzar,venir,examinar,participar,creer,recibir,comer,comprar,fortalecer,esperar,salir,matar
Dia 4,realizar,poner,jugar,ofrecer,pagar,resolver,morir,leer,tratar,permitir,conocer,contribuir,llamar,incluir,empezar,perder,entender,ganar,fomentar,evaluar
Dia 5,aprender,responder,compartir,reforzar,continuar,eliminar,abordar,construir,prevenir,escuchar,recordar,dormir,aceptar,combatir,presentar,reconocer,considerar,entrar,disfrutar,poder
Dia 6,controlar,sentir,elaborar,elegir,descargar,enviar,actuar,salvar,prestar,abrir,terminar,escribir,buscar,ampliar,comenzar,preparar,organizar,pedir,visitar,estudiar
Dia 7,identificar,informar,luchar,expresar,comprender,probar,mostrar,contar,demostrar,impedir,decidir,superar,celebrar,vender,oír,explicar,desempeñar,añadir,descubrir,producir
Dia 8,satisfacer,regresar,acceder,iniciar,mirar,beber,servir,modificar,traer,observar,conducir,definir,detener,revisar,solicitar,confiar,analizar,caminar,respetar,permanecer
Dia 9,financiar,formular,tocar,cubrir,preguntar,sacar,indicar,investigar,funcionar,destruir,introducir,alentar,incrementar,comprobar,generar,cerrar,señalar,necesitar,atender,ejecutar
Dia 10,supervisar,aprovechar,asumir,convertir,defender,manejar,escapar,viajar,recuperar,coordinar,ejercer,aprobar,mencionar,parecer,parar,causar,olvidar,correr,completar,bailar
Dia 11,discutir,limitar,averiguar,adquirir,concluir,acelerar,abandonar,asistir,destacar,invertir,recoger,romper,caer,cooperar,formar,cantar,votar,incorporar,seleccionar,instalar
Dia 12,sobrevivir,integrar,avanzar,medir,crecer,quedarse,firmar,robar,imponer,cuidar,consolidar,imaginar,consultar,limpiar,conservar,llorar,verificar,gestionar,mover,partir
Dia 13,enfrentar,confirmar,preservar,explorar,guardar,volar,dirigir,soportar,atraer,cortar,vigilar,aportar,afectar,detectar,negociar,pelear,proponer,disparar,querer,solucionar
Dia 14,conceder,reunir,afrontar,respirar,aclarar,intercambiar,estimular,exigir,amar,arreglar,intensificar,movilizar,difundir,admitir,describir,actualizar,impulsar,coger,experimentar,contener
Dia 15,corregir,brindar,acabar,agregar,subir,quedar,hallar,disminuir,subrayar,practicar,importar,restablecer,debatir,contratar,colocar,ocurrir,reflejar,erradicar,sufrir,proseguir
Dia 16,recurrir,adaptar,atacar,aliviar,casarse,liberar,fijar,lanzar,entregar,justificar,finalizar,huir,colaborar,sustituir,enseñar,disponer,suceder,escoger,alimentar,armonizar
Dia 17,bajar,representar,calcular,retirar,juzgar,ocultar,ajustar,renunciar,saltar,prohibir,diseñar,llenar,conectar,descansar,cometer,provocar,convencer,emprender,comunicar,comparar
Dia 18,registrar,recomendar,competir,favorecer,intervenir,rechazar,invitar,mitigar,respaldar,sostener,cruzar,tirar,aparecer,repetir,declarar,asignar,reformar,transferir,golpear,cargar
Dia 19,constituir,quitar,reemplazar,combinar,afirmar,restaurar,autorizar,planificar,explotar,contactar,nadar,anunciar,levantar,suprimir,montar,reparar,elevar,ahorrar,influir,agradecer
Dia 20,efectuar,gritar,felicitar,intentar,operar,ordenar,negar,vencer,moverse,emplear,alquilar,despertar,desaparecer,sentarse,revelar,complementar,apreciar,reiterar,interpretar,proceder
Dia 21,extender,salvaguardar,reservar,reconstruir,regular,extraer,proveer,simplificar,imprimir,configurar,implementar,existir,reflexionar,atrapar,minimizar,especificar,variar,distribuir,nombrar,distinguir
Dia 22,cocinar,compensar,procesar,acoger,curar,suspender,localizar,resistir,devolver,grabar,preocuparse,manifestar,contestar,cancelar,abarcar,optimizar,notar,navegar,otorgar,renovar
Dia 23,ratificar,excluir,prever,echar,borrar,pintar,poseer,marcar,reír,girar,potenciar,unir,rezar,plantear,educar,suponer,meter,almacenar,orar,engañar
